filename|mods.accessCondition#text|mods.accessCondition@type|mods.accessCondition@xlink:href|mods.genre#text|mods.genre@authority|mods.identifier#text|mods.identifier.0#text|mods.identifier.0@type|mods.identifier.1#text|mods.identifier.1@type|mods.identifier@type|mods.language.languageTerm#text|mods.language.languageTerm@type|mods.name.role.roleTerm#text|mods.name.role.roleTerm@type|mods.namenamePart|mods.originInfo.0publisher|mods.originInfo.1dateOther|mods.recordInfo.languageOfCataloging.languageTerm#text|mods.recordInfo.languageOfCataloging.languageTerm@authority|mods.recordInfo.languageOfCataloging.languageTerm@type|mods.recordInforecordContentSource|mods.recordInforecordOrigin|mods.relatedItem.titleInfotitle|mods.relatedItem@type|mods.subject.0topic|mods.subject.1topic|mods.titleInfotitle|mods@version|mods@xmlns|mods@xmlns:xlink|mods@xmlns:xsi|mods@xsi:schemaLocation|modsnote|modstypeOfResource
phoenix_2732.xml|In Copyright - Educational Use Permitted|use and reproduction|http://rightsstatements.org/vocab/InC-EDU/1.0/|text|dct|phoenix_1974fall|    |    |    |    |local|Eng|text|creator|text|University of Tennessee (Knoxville campus)|The University of Tennessee Libraries, Knoxville|1974 Fall|eng|iso639-2b|code|University of Tennessee, Knoxville. Libraries|Created and edited in general conformance to MODS Guidelines (Version 3.5).|The University of Tennessee Libraries, Special Collections, Knoxville|original|University of Tennessee (Knoxville campus) -- Students -- Periodicals.|Imprints, Tennessee -- Knoxville -- 1959.|The Phoenix|3.5|http://www.loc.gov/mods/v3|http://www.w3.org/1999/xlink|http://www.w3.org/2001/XMLSchema-instance|http://www.loc.gov/mods/v3 http://www.loc.gov/standards/mods/v3/mods-3-5.xsd|Publications by students|text
phoenix_6232.xml|In Copyright - Educational Use Permitted|use and reproduction|http://rightsstatements.org/vocab/InC-EDU/1.0/|text|dct|phoenix_2012spring|    |    |    |    |local|Eng|text|creator|text|University of Tennessee (Knoxville campus)|The University of Tennessee Libraries, Knoxville|2012 Spring|eng|iso639-2b|code|University of Tennessee, Knoxville. Libraries|Created and edited in general conformance to MODS Guidelines (Version 3.5).|The University of Tennessee Libraries, Special Collections, Knoxville|original|University of Tennessee (Knoxville campus) -- Students -- Periodicals.|Imprints, Tennessee -- Knoxville -- 1959.|The Phoenix|3.5|http://www.loc.gov/mods/v3|http://www.w3.org/1999/xlink|http://www.w3.org/2001/XMLSchema-instance|http://www.loc.gov/mods/v3 http://www.loc.gov/standards/mods/v3/mods-3-5.xsd|Publications by students|text
phoenix_5505.xml|In Copyright - Educational Use Permitted|use and reproduction|http://rightsstatements.org/vocab/InC-EDU/1.0/|text|dct|phoenix_2002spring|    |    |    |    |local|Eng|text|creator|text|University of Tennessee (Knoxville campus)|The University of Tennessee Libraries, Knoxville|2002 Spring|eng|iso639-2b|code|University of Tennessee, Knoxville. Libraries|Created and edited in general conformance to MODS Guidelines (Version 3.5).|The University of Tennessee Libraries, Special Collections, Knoxville|original|University of Tennessee (Knoxville campus) -- Students -- Periodicals.|Imprints, Tennessee -- Knoxville -- 1959.|The Phoenix|3.5|http://www.loc.gov/mods/v3|http://www.w3.org/1999/xlink|http://www.w3.org/2001/XMLSchema-instance|http://www.loc.gov/mods/v3 http://www.loc.gov/standards/mods/v3/mods-3-5.xsd|Publications by students|text
phoenix_4155.xml|In Copyright - Educational Use Permitted|use and reproduction|http://rightsstatements.org/vocab/InC-EDU/1.0/|text|dct|phoenix_1985spring|    |    |    |    |local|Eng|text|creator|text|University of Tennessee (Knoxville campus)|The University of Tennessee Libraries, Knoxville|1985 Spring|eng|iso639-2b|code|University of Tennessee, Knoxville. Libraries|Created and edited in general conformance to MODS Guidelines (Version 3.5).|The University of Tennessee Libraries, Special Collections, Knoxville|original|University of Tennessee (Knoxville campus) -- Students -- Periodicals.|Imprints, Tennessee -- Knoxville -- 1959.|The Phoenix|3.5|http://www.loc.gov/mods/v3|http://www.w3.org/1999/xlink|http://www.w3.org/2001/XMLSchema-instance|http://www.loc.gov/mods/v3 http://www.loc.gov/standards/mods/v3/mods-3-5.xsd|Publications by students|text
phoenix_3000.xml|In Copyright - Educational Use Permitted|use and reproduction|http://rightsstatements.org/vocab/InC-EDU/1.0/|text|dct|phoenix_1976spring|    |    |    |    |local|Eng|text|creator|text|University of Tennessee (Knoxville campus)|The University of Tennessee Libraries, Knoxville|1976 Spring|eng|iso639-2b|code|University of Tennessee, Knoxville. Libraries|Created and edited in general conformance to MODS Guidelines (Version 3.5).|The University of Tennessee Libraries, Special Collections, Knoxville|original|University of Tennessee (Knoxville campus) -- Students -- Periodicals.|Imprints, Tennessee -- Knoxville -- 1959.|The Phoenix|3.5|http://www.loc.gov/mods/v3|http://www.w3.org/1999/xlink|http://www.w3.org/2001/XMLSchema-instance|http://www.loc.gov/mods/v3 http://www.loc.gov/standards/mods/v3/mods-3-5.xsd|Publications by students|text
phoenix_5672.xml|In Copyright - Educational Use Permitted|use and reproduction|http://rightsstatements.org/vocab/InC-EDU/1.0/|text|dct|phoenix_2005spring|    |    |    |    |local|Eng|text|creator|text|University of Tennessee (Knoxville campus)|The University of Tennessee Libraries, Knoxville|2005 Spring|eng|iso639-2b|code|University of Tennessee, Knoxville. Libraries|Created and edited in general conformance to MODS Guidelines (Version 3.5).|The University of Tennessee Libraries, Special Collections, Knoxville|original|University of Tennessee (Knoxville campus) -- Students -- Periodicals.|Imprints, Tennessee -- Knoxville -- 1959.|The Phoenix|3.5|http://www.loc.gov/mods/v3|http://www.w3.org/1999/xlink|http://www.w3.org/2001/XMLSchema-instance|http://www.loc.gov/mods/v3 http://www.loc.gov/standards/mods/v3/mods-3-5.xsd|Publications by students|text
phoenix_2479.xml|In Copyright - Educational Use Permitted|use and reproduction|http://rightsstatements.org/vocab/InC-EDU/1.0/|text|dct|phoenix_1971spring|    |    |    |    |local|Eng|text|creator|text|University of Tennessee (Knoxville campus)|The University of Tennessee Libraries, Knoxville|1971 Spring|eng|iso639-2b|code|University of Tennessee, Knoxville. Libraries|Created and edited in general conformance to MODS Guidelines (Version 3.5).|The University of Tennessee Libraries, Special Collections, Knoxville|original|University of Tennessee (Knoxville campus) -- Students -- Periodicals.|Imprints, Tennessee -- Knoxville -- 1959.|The Phoenix|3.5|http://www.loc.gov/mods/v3|http://www.w3.org/1999/xlink|http://www.w3.org/2001/XMLSchema-instance|http://www.loc.gov/mods/v3 http://www.loc.gov/standards/mods/v3/mods-3-5.xsd|Publications by students|text
phoenix_2086.xml|In Copyright - Educational Use Permitted|use and reproduction|http://rightsstatements.org/vocab/InC-EDU/1.0/|text|dct|phoenix_1966fall|    |    |    |    |local|Eng|text|creator|text|University of Tennessee (Knoxville campus)|The University of Tennessee Libraries, Knoxville|1966 Fall|eng|iso639-2b|code|University of Tennessee, Knoxville. Libraries|Created and edited in general conformance to MODS Guidelines (Version 3.5).|The University of Tennessee Libraries, Special Collections, Knoxville|original|University of Tennessee (Knoxville campus) -- Students -- Periodicals.|Imprints, Tennessee -- Knoxville -- 1959.|The Phoenix|3.5|http://www.loc.gov/mods/v3|http://www.w3.org/1999/xlink|http://www.w3.org/2001/XMLSchema-instance|http://www.loc.gov/mods/v3 http://www.loc.gov/standards/mods/v3/mods-3-5.xsd|Publications by students|text
phoenix_3777.xml|In Copyright - Educational Use Permitted|use and reproduction|http://rightsstatements.org/vocab/InC-EDU/1.0/|text|dct|    |phoenix_1982fall|local|phoenix_1982fall|local|    |Eng|text|creator|text|University of Tennessee (Knoxville campus)|The University of Tennessee Libraries, Knoxville|1982 Fall|eng|iso639-2b|code|University of Tennessee, Knoxville. Libraries|Created and edited in general conformance to MODS Guidelines (Version 3.5).|The University of Tennessee Libraries, Special Collections, Knoxville|original|University of Tennessee (Knoxville campus) -- Students -- Periodicals.|Imprints, Tennessee -- Knoxville -- 1959.|The Phoenix|3.5|http://www.loc.gov/mods/v3|http://www.w3.org/1999/xlink|http://www.w3.org/2001/XMLSchema-instance|http://www.loc.gov/mods/v3 http://www.loc.gov/standards/mods/v3/mods-3-5.xsd|Publications by students|text
phoenix_421.xml|In Copyright - Educational Use Permitted|use and reproduction|http://rightsstatements.org/vocab/InC-EDU/1.0/|text|dct|phoenix_1959fall|    |    |    |    |local|Eng|text|creator|text|University of Tennessee (Knoxville campus)|The University of Tennessee Libraries, Knoxville|1959 Fall|eng|iso639-2b|code|University of Tennessee, Knoxville. Libraries|Created and edited in general conformance to MODS Guidelines (Version 3.5).|The University of Tennessee Libraries, Special Collections, Knoxville|original|University of Tennessee (Knoxville campus) -- Students -- Periodicals.|Imprints, Tennessee -- Knoxville -- 1959.|The Phoenix|3.5|http://www.loc.gov/mods/v3|http://www.w3.org/1999/xlink|http://www.w3.org/2001/XMLSchema-instance|http://www.loc.gov/mods/v3 http://www.loc.gov/standards/mods/v3/mods-3-5.xsd|Publications by students|text
